change_article,change_id,new_article,treaty_nr,part_nr,title_nr,chapter_nr,section_nr,article_nr,new_id,remarks
Article 109q,3.3.6a.X.X.109q,Article 128,3,3,8,X,X,128,NA,New Article introduced by the Treaty of Amsterdam
Article 109r,3.3.6a.X.X.109r,Article 129,3,3,8,X,X,129,NA,New Article introduced by the Treaty of Amsterdam
Article 109s,3.3.6a.X.X.109s,Article 130,3,3,8,X,X,130,NA,New Article introduced by the Treaty of Amsterdam
Article 110,3.3.7.X.X.110,Article 131,3,3,9,X,X,131,NA,NA
Article 112,3.3.7.X.X.112,Article 132,3,3,9,X,X,132,NA,NA
Article 113,3.3.7.X.X.113,Article 133,3,3,9,X,X,133,NA,NA
Article 115,3.3.7.X.X.115,Article 134,3,3,9,X,X,134,NA,NA
Article 116,3.3.7a.X.X.116,Article 135,3,3,10,X,X,135,NA,New Article introduced by the Treaty of Amsterdam
Article 117,3.3.8.1.X.117,Article 136,3,3,11,1,X,136,NA,NA
Article 118,3.3.8.1.X.118,Article 137,3,3,11,1,X,137,NA,NA
Article 118a,3.3.8.1.X.118a,Article 138,3,3,11,1,X,138,NA,NA
Article 118b,3.3.8.1.X.118b,Article 139,3,3,11,1,X,139,NA,NA
Article 118c,3.3.8.1.X.118c,Article 140,3,3,11,1,X,140,NA,NA
Article 119,3.3.8.1.X.119,Article 141,3,3,11,1,X,141,NA,NA
Article 119a,3.3.8.1.X.119a,Article 142,3,3,11,1,X,142,NA,NA
Article 120,3.3.8.1.X.120,Article 143,3,3,11,1,X,143,NA,NA
Article 121,3.3.8.1.X.121,Article 144,3,3,11,1,X,144,NA,NA
Article 122,3.3.8.1.X.122,Article 145,3,3,11,1,X,145,NA,NA
Article 123,3.3.8.2.X.123,Article 146,3,3,11,2,X,146,NA,NA
Article 124,3.3.8.2.X.124,Article 147,3,3,11,2,X,147,NA,NA
Article 125,3.3.8.2.X.125,Article 148,3,3,11,2,X,148,NA,NA
Article 126,3.3.8.3.X.126,Article 149,3,3,11,3,X,149,NA,NA
Article 127,3.3.8.3.X.127,Article 150,3,3,11,3,X,150,NA,NA
Article 128,3.3.9.X.X.128,Article 151,3,3,12,X,X,151,NA,NA
Article 129,3.3.10.X.X.129,Article 152,3,3,13,X,X,152,NA,NA
Article 129a,3.3.11.X.X.129a,Article 153,3,3,14,X,X,153,NA,NA
Article 129b,3.3.12.X.X.129b,Article 154,3,3,15,X,X,154,NA,NA
Article 129c,3.3.12.X.X.129c,Article 155,3,3,15,X,X,155,NA,NA
Article 129d,3.3.12.X.X.129d,Article 156,3,3,15,X,X,156,NA,NA
Article 130,3.3.13.X.X.130,Article 157,3,3,16,X,X,157,NA,NA
Article 130a,3.3.14.X.X.130a,Article 158,3,3,17,X,X,158,NA,NA
Article 130b,3.3.14.X.X.130b,Article 159,3,3,17,X,X,159,NA,NA
